corpus,mode,max-arity,status,pops-expanded,pushed,considered,finished,utility,wall-ms,body
map_minimal,fifo,3,ok,352,352,674,89,1108,4.4,(app (app cons (app (app #2 (app car #0)) #1)) (app rec (app cdr #0)))
map_minimal,lifo,3,ok,352,352,674,87,1108,4.4,(app (app cons (app (app #2 (app car #0)) #1)) (app rec (app cdr #0)))
safe_ctx_thread_bug,best,3,ok,136,137,300,55,406,1.4,(Y (lam (lam (is_nil $0 nil (cons (#0 $0))))))
safe_ctx_thread_bug,fifo,3,ok,139,139,306,58,406,1.3,(Y (lam (lam (is_nil $0 nil (cons (#0 $0))))))
safe_ctx_thread_bug,lifo,3,ok,139,139,306,58,406,1.5,(Y (lam (lam (is_nil $0 nil (cons (#0 $0))))))
simple1,best,3,ok,6,6,25,5,200,0.1,(#0 #0 #0)
simple1,fifo,3,ok,6,6,25,5,200,0.1,(#0 #0 #0)
simple1,lifo,3,ok,6,6,25,5,200,0.1,(#0 #0 #0)
simple2,best,3,ok,12,12,43,9,201,0.2,(#0 (lam (#0 #0)))
simple2,fifo,3,ok,12,12,43,9,201,0.2,(#0 (lam (#0 #0)))
simple2,lifo,3,ok,12,12,43,9,201,0.2,(#0 (lam (#0 #0)))
simple_hof,best,3,ok,40,40,121,23,201,0.5,(#0 #0)
simple_hof,fifo,3,ok,40,40,121,23,201,0.4,(#0 #0)
simple_hof,lifo,3,ok,40,40,121,23,201,0.6,(#0 #0)
symbol_weighting_test_1,best,3,ok,22,22,85,7,506,0.3,(+ (+ 1 2) (+ 3 4))
symbol_weighting_test_1,fifo,3,ok,22,22,85,7,506,0.3,(+ (+ 1 2) (+ 3 4))
symbol_weighting_test_1,lifo,3,ok,22,22,85,7,506,0.4,(+ (+ 1 2) (+ 3 4))
symbol_weighting_test_2,best,3,ok,24,24,97,7,607,0.4,(* (/ 5 6) (& L1 L2 L3))
symbol_weighting_test_2,fifo,3,ok,24,24,97,7,607,0.4,(* (/ 5 6) (& L1 L2 L3))
symbol_weighting_test_2,lifo,3,ok,24,24,97,7,607,0.4,(* (/ 5 6) (& L1 L2 L3))
tmp_crash,best,3,none,24,24,69,19,,0.3,
tmp_crash,fifo,3,none,24,24,69,19,,0.5,
tmp_crash,lifo,3,none,24,24,69,19,,0.4,
tmp_minimal,best,3,none,1,1,12,0,,0.2,
tmp_minimal,fifo,3,none,1,1,12,0,,0.1,
tmp_minimal,lifo,3,none,1,1,12,0,,0.2,
